SecCode,EdinetCode,FilerName,DocTypeCode,DocDescription,DocDescriptionEN,SubmitDateTime,PeriodStart,PeriodEnd,DocID,EnglishDocFlag,PdfFlag
8798,E05280,株式会社アドバンスクリエイト,130,訂正有価証券報告書－第28期(2022/10/01－2023/09/30),Amended Securities Report - 28th period (2022/10/01 - 2023/09/30),2026-08-14 17:15,,,S100YWH6,0,1
8798,E05280,株式会社アドバンスクリエイト,150,訂正四半期報告書－第29期第1四半期(2023/10/01－2023/12/31),Revised quarterly report - 1st quarter of the 29th term (2023/10/01 - 2023/12/31),2026-08-14 17:15,,,S100YWHD,0,1
8798,E05280,株式会社アドバンスクリエイト,135,確認書,confirmation letter,2026-08-14 17:15,,,S100YX4R,0,1
8798,E05280,株式会社アドバンスクリエイト,150,訂正四半期報告書－第29期第2四半期(2024/01/01－2024/03/31),Revised Quarterly Report - 29th Term 2nd Quarter (2024/01/01 - 2024/03/31),2026-08-14 17:15,,,S100YWHH,0,1
8798,E05280,株式会社アドバンスクリエイト,130,訂正有価証券報告書－第29期(2023/10/01－2024/09/30),Amended Securities Report - 29th period (2023/10/01 - 2024/09/30),2026-08-14 17:15,,,S100YWHN,0,1
8798,E05280,株式会社アドバンスクリエイト,170,訂正半期報告書－第30期(2024/10/01－2025/09/30),Revised Semi-Annual Report - 30th Period (2024/10/01 - 2025/09/30),2026-08-14 17:15,,,S100YWHY,0,1
8798,E05280,株式会社アドバンスクリエイト,130,訂正有価証券報告書－第30期(2024/10/01－2025/09/30),Amended Securities Report - 30th period (2024/10/01 - 2025/09/30),2026-08-14 17:15,,,S100YWI3,0,1
8798,E05280,株式会社アドバンスクリエイト,135,確認書,confirmation letter,2026-08-14 17:15,,,S100YX4S,0,1
8798,E05280,株式会社アドバンスクリエイト,236,訂正内部統制報告書－第26期(2020/10/01－2021/09/30),Amended Internal Control Report - 26th period (2020/10/01 - 2021/09/30),2026-08-14 17:15,,,S100YWGM,0,1
8798,E05280,株式会社アドバンスクリエイト,135,確認書,confirmation letter,2026-08-14 17:15,,,S100YX4U,0,1
8798,E05280,株式会社アドバンスクリエイト,236,訂正内部統制報告書－第27期(2021/10/01－2022/09/30),Amended Internal Control Report - 27th period (2021/10/01 - 2022/09/30),2026-08-14 17:15,,,S100YWH0,0,1
8798,E05280,株式会社アドバンスクリエイト,236,訂正内部統制報告書－第28期(2022/10/01－2023/09/30),Amended Internal Control Report - 28th term (2022/10/01 - 2023/09/30),2026-08-14 17:15,,,S100YWH9,0,1
